Day PI,RBC,Mouse,Treatment
7,1.883,3,H
8,1.188,3,H
9,0.838,3,H
10,0.746,3,H
11,1.201,3,H
12,2.55,3,H
13,3.672,3,H
14,4.28,3,H
15,2.07,3,H
16,0.941,3,H
17,0.6985,3,H
18,1.245,3,H
-5,7.578,4,H
0,5.202,4,H
3,3.662,4,H
4,5.91,4,H
5,5.007,4,H
6,2.483,4,H
7,0.809,4,H
8,NA,4,H
9,NA,4,H
10,NA,4,H
11,NA,4,H
12,NA,4,H
13,NA,4,H
14,NA,4,H
15,NA,4,H
16,NA,4,H
17,NA,4,H
18,NA,4,H
-5,7.796,5,H
0,5.479,5,H
3,3.015,5,H
4,4.107,5,H
5,4.65,5,H
6,4.426,5,H
7,1.712,5,H
8,0.849,5,H
9,NA,5,H
10,NA,5,H
11,NA,5,H
12,NA,5,H
13,NA,5,H
14,NA,5,H
15,NA,5,H
16,NA,5,H
17,NA,5,H
18,NA,5,H
-5,6.727,1,H
0,4.875,1,H
3,2.888,1,H
4,4.329,1,H
5,4.128,1,H
6,3.901,1,H
7,0.8936,1,H
8,0.581,1,H
9,NA,1,H
10,NA,1,H
11,NA,1,H
12,NA,1,H
13,NA,1,H
14,NA,1,H
15,NA,1,H
16,NA,1,H
17,NA,1,H
18,NA,1,H
